rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,bfefrmtrm_nm,bfefrmtrm_amount,ticker,corp_name,fs_div
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_PurchaseOfFairValueFinancialAsset,공정가치측정금융자산의 증가,-,제 21 기 1분기,2499999000,,,21,KRW,,제 20 기 1분기,63608414000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_PurchaseOfInvestmentsInAssociates,공동기업 및 관계기업투자주식의 취득,-,제 21 기 1분기,90791000,,,22,KRW,,제 20 기 1분기,2117217000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_PurchaseOfOtherFinancialAssets,기타금융자산의 증가,-,제 21 기 1분기,856758016000,,,23,KRW,,제 20 기 1분기,911626436000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_PurchaseOfOtherNonCurrentFinancialAssets,기타비유동금융자산의 증가,-,제 21 기 1분기,1251917000,,,24,KRW,,제 20 기 1분기,2508254000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_AdditionsToRightofuseAssets,사용권자산의 취득,-,제 21 기 1분기,0,,,25,KRW,,제 20 기 1분기,-162980000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,종속기업 취득 및 연결범위변동으로 인한 순현금흐름,-,제 21 기 1분기,0,,,26,KRW,,제 20 기 1분기,-243812000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,-,제 21 기 1분기,769000,,,27,KRW,,제 20 기 1분기,580577000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,-,제 21 기 1분기,0,,,28,KRW,,제 20 기 1분기,10740000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,-,제 21 기 1분기,2767141000,,,29,KRW,,제 20 기 1분기,2883888000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,-,제 21 기 1분기,7642455000,,,30,KRW,,제 20 기 1분기,6252808000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,-,제 21 기 1분기,6879373000,,,31,KRW,,제 20 기 1분기,-67874514000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInOperations,영업으로부터 창출된 현금흐름,-,제 21 기 1분기,45201747000,,,32,KRW,,제 20 기 1분기,-60564167000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금의 수취,-,제 21 기 1분기,20196000,,,33,KRW,,제 20 기 1분기,10761000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세의 납부,-,제 21 기 1분기,38157569000,,,34,KRW,,제 20 기 1분기,11729459000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,-,제 21 기 1분기,8416755000,,,35,KRW,,제 20 기 1분기,10780459000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,-,제 21 기 1분기,8231754000,,,36,KRW,,제 20 기 1분기,15188810000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,외화표시 현금및현금성자산의 환율변동효과,-,제 21 기 1분기,6678947000,,,37,KRW,,제 20 기 1분기,5043797000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,현금및현금성자산의 증가(감소),-,제 21 기 1분기,117347240000,,,38,KRW,,제 20 기 1분기,-48008023000,,,,352820,하이브,CFS
