rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,bfefrmtrm_amount,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,ticker,corp_name,fs_div
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_ProceedsFromSalesOfOtherCurrentFinancialAssets,기타유동금융자산의 감소,-,제 2 기 반기,85000000,,,24,KRW,,,제 1 기 반기,40000000,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_PurchaseOfFairValueFinancialAsset,당기손익-공정가치금융자산의 취득,-,제 2 기 반기,12100000,,,25,KRW,,,제 1 기 반기,393528000,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_PurchaseOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산의 취득,-,제 2 기 반기,0,,,26,KRW,,,제 1 기 반기,10000,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_PurchaseOfLongTermFinancialInstruments,장기금융자산의 취득,-,제 2 기 반기,0,,,27,KRW,,,제 1 기 반기,15467783533,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_PurchaseOfLongTermLoansAndReceivables,장기대여금의 증가,-,제 2 기 반기,15166872700,,,28,KRW,,,제 1 기 반기,0,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_PurchaseOfOtherCurrentFinancialAssets,기타유동금융자산의 증가,-,제 2 기 반기,38000000,,,29,KRW,,,제 1 기 반기,70000000,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_PurchaseOfOtherNonCurrentFinancialAssets,기타비유동금융자산의 증가,-,제 2 기 반기,10000000,,,30,KRW,,,제 1 기 반기,19052000,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_PurchaseOfShortTermLoansAndReceivables,단기대여금의 증가,-,제 2 기 반기,0,,,31,KRW,,,제 1 기 반기,1000000000,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,-표준계정코드 미사용-,단기금융상품의 순증감,-,제 2 기 반기,-4422079775,,,32,KRW,,,제 1 기 반기,107800000000,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,ifrs-full_CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,종속기업과 기타 사업의 지배력 획득에 따른 현금흐름,-,제 2 기 반기,0,,,33,KRW,,,제 1 기 반기,3859246,,475150,SK이터닉스,CFS
