rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,ticker,corp_name,fs_div
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_Revenue,매출액,-,제 16 기 1분기,227886034403,,,,,34,KRW,227886034403,제 15 기 1분기,144377256058,144377256058,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_RevenueFromRenderingOfServices,용역매출,-,제 16 기 1분기,17050484642,,,,,35,KRW,17050484642,제 15 기 1분기,3932850555,3932850555,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_RevenueFromSaleOfGoods,제품매출,-,제 16 기 1분기,210835549761,,,,,36,KRW,210835549761,제 15 기 1분기,140444405503,140444405503,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손실,-,제 16 기 1분기,-2916222395,,,,,37,KRW,-2916222395,제 15 기 1분기,-4459904391,-4459904391,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초 현금및현금성자산,-,제 16 기 1분기,307770519305,,,,,2,KRW,,제 15 기 1분기,322806911402,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,dart_CashAndCashEquivalentsAtEndOfPeriodCf,분기말 현금및현금성자산,-,제 16 기 1분기,308991271818,,,,,3,KRW,,제 15 기 1분기,266945585232,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금흐름,-,제 16 기 1분기,-8206494599,,,,,8,KRW,,제 15 기 1분기,-76717309065,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,dart_PaymentForConsolidatedCapitalTransactions,연결자본거래로 인한 현금유출액,-,제 16 기 1분기,6283945096,,,,,9,KRW,,제 15 기 1분기,0,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,dart_RepaymentsOfLongTermBorrowings,유동성장기차입금의 감소,-,제 16 기 1분기,0,,,,,10,KRW,,제 15 기 1분기,75715000000,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,ifrs-full_PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 상환,-,제 16 기 1분기,1922549503,,,,,11,KRW,,제 15 기 1분기,1002309065,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금흐름,-,제 16 기 1분기,-7062216343,,,,,12,KRW,,제 15 기 1분기,-1510811774,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,dart_DecreaseInLoans,종업원장기대여금의 감소,-,제 16 기 1분기,0,,,,,13,KRW,,제 15 기 1분기,12202344,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,dart_IncreaseInGuaranteeDeposits,보증금의 증가,-,제 16 기 1분기,1126840524,,,,,14,KRW,,제 15 기 1분기,141319630,,326030,에스케이바이오팜,CFS
