ticker,name,exchange,sector,industry,market_cap,shares_outstanding,listing_date
049950,미래컴퍼니,KOSDAQ,,중견기업부,88972449560,8817884,
049960,쎌바이오텍,KOSDAQ,,벤처기업부,148050000000,9400000,
050090,비케이홀딩스,KOSDAQ,,관리종목(소속부없음),11273138065,23534735,
050110,캠시스,KOSDAQ,,중견기업부,28172729372,29224823,
050120,ES큐브,KOSDAQ,,중견기업부,40692258000,13564086,
050760,에스폴리텍,KOSDAQ,,중견기업부,17674121596,16334678,
050860,아세아텍,KOSDAQ,,우량기업부,37080000000,22500000,
050890,쏠리드,KOSDAQ,,우량기업부,611818297380,60756534,
050960,수산아이앤티,KOSDAQ,,벤처기업부,55898280000,6751000,
051160,지어소프트,KOSDAQ,,중견기업부,154744300000,15474430,
051360,토비스,KOSDAQ,,우량기업부,118303266360,9641668,
051370,인터플렉스,KOSDAQ,,우량기업부,166091600640,23327472,
051380,피씨디렉트,KOSDAQ,,중견기업부,24666835776,15340072,
051390,YW,KOSDAQ,,중견기업부,47124777200,11355368,
051490,나라엠앤디,KOSDAQ,,우량기업부,38624000000,14200000,
051500,CJ프레시웨이,KOSDAQ,,우량기업부,276014374500,11871586,
051780,큐로홀딩스,KOSDAQ,,중견기업부,18436639650,6335615,
051980,중앙첨단소재,KOSDAQ,,중견기업부,110980617291,111091709,
052020,에스티큐브,KOSDAQ,,투자주의환기종목(소속부없음),571059644400,67983291,
052220,iMBC,KOSDAQ,,중견기업부,40181000000,23000000,
052260,현대바이오랜드,KOSDAQ,,우량기업부,108600000000,30000000,
052300,오션인더블유,KOSDAQ,,중견기업부,23960088800,16244128,
052330,코텍,KOSDAQ,,우량기업부,217579465250,17761589,
052420,오성첨단소재,KOSDAQ,,우량기업부,90308423430,9742009,
052460,아이크래프트,KOSDAQ,,벤처기업부,83411314560,14607936,
052600,한네트,KOSDAQ,,중견기업부,35211466500,11563700,
052710,아모텍,KOSDAQ,,중견기업부,201360883880,14612546,
052770,아이톡시,KOSDAQ,,관리종목(소속부없음),4545457488,14568774,
052790,액토즈소프트,KOSDAQ,,중견기업부,44681397230,10924547,
